gene_id,gene_symbol,GSM9181254,GSM9181255,GSM9181256,GSM9181257,GSM9181258,GSM9181259,GSM9181260,GSM9181261,GSM9181262,GSM9181263,GSM9181264,GSM9181265,GSM9181266,GSM9181267,GSM9181268,GSM9181269,GSM9181270,GSM9181271
ENSG00000196544,BORCS6,324.0,423.089,226.0,324.0,507.155,342.424,159.844,126.0,267.0,209.0,209.0,205.0,174.038,397.019,342.0,295.004,183.999,324.0
ENSG00000196547,MAN2A2,1862.406,2287.399,1954.833,1860.965,2708.983,3243.987,1928.44,1380.988,2750.33,2536.58,2322.736,2557.206,1883.337,3833.595,3795.634,2338.746,1468.798,3639.331
ENSG00000196549,MME,20.0,20.0,44.0,24.999,41.0,65.999,45.0,32.006,268.001,138.0,159.0,165.0,138.999,280.008,154.001,12.0,12.0,62.0
ENSG00000196550,FAM72A,135.812,105.513,78.773,73.377,142.502,193.632,121.367,78.701,166.785,174.997,158.514,187.228,113.219,315.043,325.837,301.468,188.454,451.946
ENSG00000196553,CCDC196,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196557,CACNA1H,1169.469,1521.16,924.001,1123.901,1559.416,2050.678,1302.977,891.95,1446.688,1689.176,1582.585,1609.759,471.401,991.248,1121.259,867.511,540.177,1145.125
ENSG00000196562,SULF2,702.999,778.851,807.758,796.541,1140.938,1842.376,527.512,327.231,1157.636,836.182,843.304,934.278,1787.92,3385.106,2136.595,1210.513,712.536,1574.239
ENSG00000196564,AL096700.1,3.948,0.0,3.865,0.0,11.312,20.353,3.0,3.989,14.066,4.986,9.614,11.996,13.667,6.979,12.999,11.75,4.105,7.185
ENSG00000196565,HBG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000196566,AL138767.1,8.262,2.098,3.891,7.007,17.065,13.246,5.891,11.314,6.474,11.661,9.663,8.602,13.744,25.074,16.456,9.53,1.066,18.667
ENSG00000196569,LAMA2,12545.582,13371.672,4952.972,12768.899,18516.191,13171.519,3733.178,3234.123,6160.995,6990.652,7255.996,7229.814,2961.586,5966.571,8056.123,17673.074,11427.885,24813.706
ENSG00000196570,PFN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196576,PLXNB2,7260.249,9387.299,4554.496,6883.492,10528.105,9637.466,3794.027,2898.172,6741.09,4565.313,4254.884,4413.97,5178.899,10139.403,9791.381,7161.837,4406.95,10284.16
ENSG00000196578,OR5AC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
