group,sample_count,patient_count,cell_lines,description
control,9,3,FA1ic; FA2ic; FA3ic,Isogenic corrected iPSC-cardiomyocyte controls
disease,9,3,FA1; FA2; FA3,FRDA patient iPSC-cardiomyocytes
