metric,value,notes
nominal_p_lt_0.05,859,Exploratory paired expression analysis using log2 CPM values and three patient-level disease-control pairs. This is not a full DESeq2 negative-binomial model; adjusted p-values should be interpreted cautiously because the effective paired sample size is small.
fdr_lt_0.10,0,Exploratory paired expression analysis using log2 CPM values and three patient-level disease-control pairs. This is not a full DESeq2 negative-binomial model; adjusted p-values should be interpreted cautiously because the effective paired sample size is small.
fdr_lt_0.05,0,Exploratory paired expression analysis using log2 CPM values and three patient-level disease-control pairs. This is not a full DESeq2 negative-binomial model; adjusted p-values should be interpreted cautiously because the effective paired sample size is small.
abs_log2fc_ge_1,369,Exploratory paired expression analysis using log2 CPM values and three patient-level disease-control pairs. This is not a full DESeq2 negative-binomial model; adjusted p-values should be interpreted cautiously because the effective paired sample size is small.
genes_tested,15100,Exploratory paired expression analysis using log2 CPM values and three patient-level disease-control pairs. This is not a full DESeq2 negative-binomial model; adjusted p-values should be interpreted cautiously because the effective paired sample size is small.
